"Constituent","BahMax.PctExp","BahMax.R2","BahMax.cumPctExp","BahMax.relImportance.lmg","BahMax.Amps","BahMax.phase","BahMax.sine","BahMax.cosine","BahMax.speed","BahMax.rank","BahMin.PctExp","BahMin.R2","BahMin.cumPctExp","BahMin.relImportance.lmg","BahMin.Amps","BahMin.phase","BahMin.sine","BahMin.cosine","BahMin.speed","BahMin.rank","MPNMin.PctExp","MPNMin.R2","MPNMin.cumPctExp","MPNMin.relImportance.lmg","MPNMin.Amps","MPNMin.phase","MPNMin.sine","MPNMin.cosine","MPNMin.speed","MPNMin.rank","MPNMax.PctExp","MPNMax.R2","MPNMax.cumPctExp","MPNMax.relImportance.lmg","MPNMax.Amps","MPNMax.phase","MPNMax.sine","MPNMax.cosine","MPNMax.speed","MPNMax.rank","San.PctExp","San.R2","San.cumPctExp","San.relImportance.lmg","San.Amps","San.phase","San.sine","San.cosine","San.speed","San.rank","SuaMax.PctExp","SuaMax.R2","SuaMax.cumPctExp","SuaMax.relImportance.lmg","SuaMax.Amps","SuaMax.phase","SuaMax.sine","SuaMax.cosine","SuaMax.speed","SuaMax.rank","Tor.PctExp","Tor.R2","Tor.cumPctExp","Tor.relImportance.lmg","Tor.Amps","Tor.phase","Tor.sine","Tor.cosine","Tor.speed","Tor.rank","AvgRank.x","LevMin.PctExp","LevMin.R2","LevMin.cumPctExp","LevMin.relImportance.lmg","LevMin.Amps","LevMin.phase","LevMin.sine","LevMin.cosine","LevMin.speed","LevMin.rank","LevMid.PctExp","LevMid.R2","LevMid.cumPctExp","LevMid.relImportance.lmg","LevMid.Amps","LevMid.phase","LevMid.sine","LevMid.cosine","LevMid.speed","LevMid.rank","AvgRank.y","PonMin.PctExp","PonMin.R2","PonMin.cumPctExp","PonMin.relImportance.lmg","PonMin.Amps","PonMin.phase","PonMin.sine","PonMin.cosine","PonMin.speed","PonMin.rank","PonMid.PctExp","PonMid.R2","PonMid.cumPctExp","PonMid.relImportance.lmg","PonMid.Amps","PonMid.phase","PonMid.sine","PonMid.cosine","PonMid.speed","PonMid.rank","PonMax.PctExp","PonMax.R2","PonMax.cumPctExp","PonMax.relImportance.lmg","PonMax.Amps","PonMax.phase","PonMax.sine","PonMax.cosine","PonMax.speed","PonMax.rank","AvgRank"
"1k1j.2",0.0017063726545305,0.901643518492271,90.4941487443696,NA,0.0013828899775031,34.2959302968274,0.000354817175220401,0.000520221898345435,30.626511822,56,0.00388009400953017,0.898855939821536,90.4908785863466,NA,0.00130248569676514,36.857198234763,0.000329467313679326,0.000439492659565739,30.626511822,58,0.000415704141395961,0.892299359055317,89.7395375465536,NA,0.00209015592009909,170.095096873933,0.00016382110532665,-0.000938178576770829,30.626511822,57,2.36509203137858e-06,0.744232838904587,75.8472434098985,NA,0.00651175044451696,194.643894018292,-0.000552349886323378,-0.00211386366694429,30.626511822,35,0.000118115859096695,0.598154838966737,62.6494348466974,NA,0.00256531100870111,220.539158229293,-0.000393313050062878,-0.000459873614651712,30.626511822,34,0.00440550710011525,0.671500824608219,76.471568322733,NA,0.00676317125811288,270.769818867902,-0.00167660344762489,2.25279881047173e-05,30.626511822,34,4.49347287680196e-05,0.832820528045951,84.7807629534152,NA,0.00469674783438841,208.705707736799,-0.000949579255942706,-0.00173403188012527,30.626511822,37,42.2222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0192193322287879,0.731167841631447,90.4149522899273,NA,0.00422097085891291,192.050439896635,-0.00028162408505494,-0.0013192254072864,30.626511822,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
"1M.1p1",0.00444004240723779,0.901647892035018,90.4985887867769,NA,0.00734000709605251,195.766436967715,-0.000646349665146162,-0.00228926897984338,14.02517286,29,0.00100743742697725,0.898773458208728,90.4918860237736,NA,0.00744077639733456,157.051020009341,0.000872452642622111,-0.00206046898461433,14.02517286,37,0.00354792052864538,0.892298195566102,89.7430854670822,NA,0.00885499168922551,24.2880879443337,0.00118312386771653,0.00262178210397649,14.02517286,30,0.228240176369642,0.746350903989248,76.0754835862682,NA,0.0238479172430886,6.61326474397449,0.000659926579855647,0.00569203672389907,14.02517286,17,0.00295746197772186,0.598165345738175,62.6523923086751,NA,0.00131487360003944,131.66150776551,0.000169832283474561,-0.000151110499235582,14.02517286,49,0.487468278309926,0.674368711772948,76.9590366010429,NA,0.0113062061411349,73.9651109110535,0.00267671871889269,0.000769301000650954,14.02517286,27,0.00883444245999013,0.832908744534463,84.7895973958751,NA,0.00748986305153919,64.9717696812754,0.00207797427676943,0.000970222075436852,14.02517286,28,31.4444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.305617888256211,0.566677368730933,58.4765168321931,0.0476948014207768,0.0761869988526375,15.8169835239602,0.00315883378814002,0.0111504652668995,14.02517286,4,4,0.0258217137421035,0.729046380875585,90.4407740036694,NA,0.00378474793846009,130.584538227286,0.000713004814320348,-0.000610785353235558,14.02517286,42,0.00101237465026282,0.758171655396072,78.8130833816979,NA,0.00748152407280344,315.83598652661,-0.00121702618468997,0.00125306920622693,14.02517286,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.5
"1M1K.1S2",0.17055123214718,0.902914648261639,90.669140018924,NA,0.0383018270994453,133.609114560975,0.0111870793028986,-0.0106567056492071,29.06624146,13,0.00903751020208396,0.898736276561749,90.5009235339757,NA,0.00889165761294777,235.015804775008,-0.002904072751421,-0.00203226002803133,29.06624146,34,0.00085373097850088,0.891915944660857,89.7439391980607,NA,0.0109968902225171,291.337886047352,-0.00427864350860566,0.00167143349518163,29.06624146,25,0.00377691941315102,0.746363574625147,76.0792605056813,NA,0.0018008346009456,7.90014079830228,7.96549507749689e-05,0.000574031932675883,29.06624146,55,2.97733019171854e-05,0.598135417150066,62.652422081977,NA,0.00171321391891318,325.450211733213,-0.000219737759620579,0.000319125989196585,29.06624146,46,0.103374382848259,0.634365928681775,64.0907177185245,0.0290724188075779,0.036167861159243,262.13861542687,-0.00804454408916396,-0.00111074710739535,29.06624146,5,0.0771606683994746,0.833708162927579,84.8667580642746,NA,0.0177913471025969,213.941659793634,-0.00388148117383546,-0.00576719079931904,29.06624146,13,32.4444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0631509487206249,0.541184014622704,67.368116958661,NA,0.0345668957860947,62.8195490480131,0.00648181531904833,0.00332840538584065,29.06624146,17,17,1.78648913272742,0.731835884260656,92.2272631363969,NA,0.00598399154901702,229.816510238179,-0.00140370035657515,-0.00118552559332324,29.06624146,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"1M1k.3",0.000321579719498324,0.902917459503848,90.6694615986435,NA,0.001120273282149,243.122220701356,-0.000369382199356777,-0.000187218193950947,44.0251728,57,0.176945642711063,0.90051014775182,90.6778691766867,NA,0.0292050768567848,121.659738959456,0.0080918493233054,-0.00498977644972899,44.0251728,17,0.0101423708924121,0.892012699012522,89.7540815689531,NA,0.00716409242761785,223.970253349898,-0.00182580543954324,-0.00189264232507613,44.0251728,35,0.326308071307594,0.749569406174823,76.4055685769889,NA,0.032354671018486,108.938331509093,0.00808226750169914,-0.00277322101080394,44.0251728,14,0.00673786687981552,0.59818520192038,62.6591599488568,NA,0.00341832073484396,162.979700702737,0.000189825775199765,-0.00062010628341164,44.0251728,28,0.844733025552652,0.681149163162243,77.8037696265956,NA,0.0242095078659952,217.846423260496,-0.00350825512700447,-0.00451525630420977,44.0251728,14,0.00307809818611351,0.833737316525032,84.8698361624607,NA,0.00256928084967091,187.771676520985,-0.000119368745711048,-0.000874628423726682,44.0251728,49,28.4444444444444,4.3236027317036,0.823049759001284,83.368866948121,NA,0.0868346400765527,201.650977690027,-0.00521808198639535,-0.0131451881466573,44.0251728,11,0.431663491026267,0.545252909199917,67.7997804496873,NA,0.0258326749227293,145.137623916344,0.00280427493684502,-0.00402546448752685,44.0251728,19,15,0.00726863990865141,0.731514832313438,92.2345317763055,NA,0.00322682801658142,139.156219975904,0.00057530263152032,-0.000665465834478539,44.0251728,46,0.000476298415359395,0.758159050099242,78.8135596801133,NA,0.00227354342267382,137.478653228938,0.00039999455841133,-0.000436191084313662,44.0251728,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
"1M1K.4",0.0024113174167177,0.90290626517324,90.6718729160603,NA,0.00676379978399134,298.896529345709,-0.00252050838753149,0.00139119618452552,59.0662414,31,0.00644523078747689,0.900559459618762,90.6843144074742,NA,0.00575608119304766,250.267904393375,-0.00214811577302146,-0.000770494657379167,59.0662414,45,0.000108075348922613,0.891991952825375,89.754189644302,NA,0.00373755343359829,106.767814780829,0.00153716573785803,-0.000463155663194643,59.0662414,46,0.00367799059563137,0.749544021590936,76.4092465675845,NA,0.00385502516310486,79.4613282856651,0.0012191692492817,0.000226810913917824,59.0662414,43,5.07590512980165e-05,0.598182818200554,62.6592107079081,NA,0.00217550618597809,310.533428257253,-0.000368141437087952,0.000314794138497083,59.0662414,40,0.0304465866977566,0.681320101225532,77.8342162132933,NA,0.00856391328791495,223.556315214283,-0.00145656870055314,-0.00153188486286635,59.0662414,30,0.000621766091068242,0.833742696897048,84.8704579285518,NA,0.000914024035415661,283.458339490175,-0.000358735791788142,8.58490160184338e-05,59.0662414,57,41.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0154334603486135,0.731563711779999,92.2499652366541,NA,0.00188660171408519,299.010814696089,-0.000506039262630926,0.000280627020774195,59.0662414,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
"1M1N.1S2",0.00477226420044426,0.902945080418757,90.6766451802607,NA,0.00537088544890149,325.806149627303,-0.000947099575416575,0.00139393650698995,27.423833838,37,0.00917764596661938,0.900605889398027,90.6934920534408,NA,0.00640282659936682,2.25531659180073,7.32990918728949e-05,0.00186118407799943,27.423833838,43,0.0016685102909464,0.891899716995306,89.755858154593,NA,0.00455535182605021,260.50777592785,-0.00141799571931007,-0.000237093274651125,27.423833838,41,0.011891678241568,0.749585553639978,76.4211382458261,NA,0.00101479847115832,42.0765209256551,0.000163608051774246,0.000181217849139289,27.423833838,58,0.00256233922409766,0.598199737412459,62.6617730471322,NA,0.00282427242328037,19.0651284128432,0.000152361574177424,0.000440861563983347,27.423833838,32,0.0379953861102602,0.681348855358035,77.8722115994036,NA,0.00182032433318032,180.016241084305,-1.29005050464593e-07,-0.000455107835813606,27.423833838,53,0.00549334184802869,0.833789303166612,84.8759512703998,NA,0.00313139500183887,355.08357440577,-7.99188525241789e-05,0.000929083324898451,27.423833838,45,44.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235685072744458,0.730305060302928,92.4856503093986,NA,0.00654016109963117,207.248545205531,-0.000707976151787871,-0.0013747063896564,27.423833838,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000362486669767063,0.490801246483695,67.4565361284135,NA,0.000770125549770534,17.306448276862,9.14426967191022e-05,0.000293472364980447,27.423833838,16,24
"1M1N.4",0.00266092525672617,0.902972197597136,90.6793061055174,NA,0.00366380932453803,231.324114547544,-0.000900403785204346,-0.000720737472692256,57.423833778,44,0.0702041618805251,0.901296450764701,90.7636962153213,NA,0.018762202208825,195.487472132576,-0.00142802905636281,-0.00515368201282496,57.423833778,24,0.00203955435213046,0.891919577828854,89.7578977089451,NA,0.00302132785702754,257.941944779834,-0.000935957754839816,-0.000199935387080619,57.423833778,53,0.0987623256319206,0.750438346101751,76.519900571458,NA,0.0221125699318063,75.4030735680135,0.00497900421696464,0.00129664824332513,57.423833778,18,0.000530980196611531,0.598201347901614,62.6623040273288,NA,0.00180145027395236,229.717824839849,-0.000228524285867846,-0.000193680494298708,57.423833778,45,0.164184883983593,0.682650927281993,78.0363964833872,NA,0.0118375491510954,154.968993647608,0.0012271530981683,-0.00262792444238761,57.423833778,26,0.00160593273565161,0.833805400289515,84.8775572031355,NA,0.00263267128069901,182.120660767179,-2.90180753265086e-05,-0.000783649126292578,57.423833778,48,35.6666666666667,0.127575642997302,0.823566256816855,83.4964425911183,NA,0.0231430190675976,267.954993810271,-0.0034604048010755,-0.000123561557726082,57.423833778,18,0.0757894136048491,0.546037968982834,67.8755698632921,NA,0.0113324335371476,134.27066168261,0.00135380361775032,-0.00131976892542448,57.423833778,24,21,0.110309899829955,0.730645394144865,92.5959602092285,NA,0.00345209579178058,134.356684570918,0.000591117668485281,-0.000577990403712825,57.423833778,45,6.51763533867932e-07,0.758158339583069,78.8135603318768,NA,0.0012058363837193,167.425981890669,6.0103294737463e-05,-0.000269460595248082,57.423833778,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
"1M1o.3",0.00603185619147587,0.903025258549567,90.6853379617089,NA,0.00615903770044695,213.052281998154,-0.00131964427777189,-0.00202802021705958,42.9271398,33,0.100326492511669,0.902282665380232,90.864022707833,NA,0.021179853537136,138.96622501441,0.00492987878870828,-0.00566442953214871,42.9271398,21,0.0187799305011041,0.892109282953116,89.7766776394462,NA,0.0101013399698067,228.563293130496,-0.00296651102895449,-0.00261871087490457,42.9271398,28,0.147269230323947,0.751813052836074,76.667169801782,NA,0.0246203930509371,135.780218554766,0.00488676318801985,-0.00502169884780753,42.9271398,16,0.00177584599598437,0.598243987280483,62.6640798733248,NA,0.00392187367349356,228.740622824881,-0.000596254395043881,-0.000523073730791037,42.9271398,23,0.328605690795185,0.684439622199322,78.3650021741824,NA,0.0330270814961331,228.792185668198,-0.00574854998371875,-0.00503386013579875,42.9271398,11,0.00249269602640866,0.833824153504391,84.8800498991619,NA,0.00465661632083718,82.4562291784125,0.00170517912418759,0.00022581646532687,42.9271398,38,23.2222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00250544012096201,0.730644802051852,92.5984656493495,NA,0.00256180407510278,120.839350191627,0.00062681759524066,-0.000374241990001252,42.9271398,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99023218728218e-05,0.490801295391571,67.4565560307354,NA,0.000298841750621541,27.0762376439767,6.40440965334892e-05,0.000125281234382681,42.9271398,20,34.5
"1M1S.1N2",7.18404037861182e-05,0.903000551594836,90.6854098021127,NA,0.00391244640722238,310.927822273677,-0.000929927889259616,0.000806319533905681,30.544374562,42,0.00239165505748006,0.902198513947123,90.8664143628905,NA,0.00356919595285734,265.56012568646,-0.00103774550507705,-8.0576686364439e-05,30.544374562,50,0.00189899072835985,0.892078529703185,89.7785766301746,NA,0.00199497360721354,294.603202870533,-0.000575427784603802,0.000263490319392177,30.544374562,59,0.00803400893854012,0.751667528097856,76.6752038107205,NA,0.00382114788701468,313.515365339389,-0.000663824971239839,0.000630284798718613,30.544374562,44,6.62755152218255e-05,0.59824305326082,62.66414614884,NA,0.00102037294193337,331.069743506544,-8.22533806511263e-05,0.000148815947623329,30.544374562,50,0.0247070271294361,0.684273742959362,78.3897092013118,NA,0.00219027990096926,323.458349694588,-0.000326142365748774,0.000440086687132415,30.544374562,51,0.00384166650816873,0.833853867358917,84.8838915656701,NA,0.00547817311769024,88.7241760221959,0.00162552522004593,3.62020886224688e-05,30.544374562,34,47.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034051804638391,0.729660974948498,92.6325174539879,NA,0.00593432870925703,32.9534926113128,0.000776480783919934,0.00119780298665851,30.544374562,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000176524310829462,0.490797991288215,67.4567325550462,NA,0.00180061940444251,254.285947441443,-0.000688861521717528,-0.000193812555183124,30.544374562,13,24
"1M1S.4",0.00331591523791078,0.903024735324092,90.6887257173506,NA,0.00420834989878797,179.812735488054,4.47613209627064e-06,-0.00136952037407051,58.98410414,40,0.0276407449574101,0.902493102714208,90.8940551078479,NA,0.0105188068627426,248.517560477059,-0.00291947611224817,-0.00114897872415172,58.98410414,29,0.00325312635698369,0.892109382169187,89.7818297565316,NA,0.0034098251802724,343.724777553956,-0.000312963750883445,0.00107197320511097,58.98410414,50,0.0515497310951717,0.752240665405192,76.7267535418157,NA,0.0139770208731715,121.035954895947,0.002909047621753,-0.00175041768408548,58.98410414,22,7.79145093500339e-05,0.598242899835842,62.6642240633494,NA,0.000310310345490581,87.153752922656,5.36678329384216e-05,2.66821900186632e-06,58.98410414,58,0.0636218145210424,0.684642951194492,78.4533310158328,NA,0.00993834879437096,187.848357168959,-0.000334133798467305,-0.0024240191194872,58.98410414,28,0.000289072276393277,0.833855184985275,84.8841806379465,NA,0.00183690683832312,188.758742484484,-8.64859750259708e-05,-0.00056133871635266,58.98410414,52,39.8888888888889,0.272830343144141,0.826845334087052,83.7692729342624,NA,0.0235190052593431,281.592261715298,-0.0035668183581162,0.000731660646613389,58.98410414,17,0.00311740787418205,0.545968579295351,67.8786872711663,NA,0.00160098006811983,257.807923153133,-0.000271216372912018,-5.85997982074361e-05,58.98410414,26,21.5,0.00133790597194439,0.729097853091541,92.6338553599598,NA,0.00703553093839799,267.665344202714,-0.00172475425378199,-7.031822619833e-05,58.98410414,29,4.64785899149939e-06,0.75816117096333,78.8135649797358,NA,0.000711572275943348,95.1993297030036,0.000167809269537784,-1.52698604450189e-05,58.98410414,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
